JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer_Code,Comment_Code(s),Comp_Star_1,Comp_Star_2,Charts,Comments,Transfomed,Airmass,Validation_Flag,Cmag,Kmag,HJD,Star_Name,Observer_Affiliation,Measurement_Method,Grouping_Method,ADS_Reference,Digitizer,Credit
2459710.352326,13.717,0.013,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.113,Z,17.271,18.463,,TCP J14225968+4122545,VVS,STD,,,,
2459710.35243,13.514,0.006,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.042,Z,,14.963,,XM116HT,MCSE,STD,,,,
2459710.352778,13.717,0.012,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.112,Z,17.281,18.486,,TCP J14225968+4122545,VVS,STD,,,,
2459710.35319,13.515,0.008,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.041,Z,,14.962,,XM116HT,MCSE,STD,,,,
2459710.353218,13.696,0.012,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.111,Z,17.279,18.439,,TCP J14225968+4122545,VVS,STD,,,,
2459710.353750,13.707,0.013,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.110,Z,17.305,18.493,,TCP J14225968+4122545,VVS,STD,,,,
2459710.35395,13.504,0.006,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.040,Z,,14.907,,XM116HT,MCSE,STD,,,,
2459710.354201,13.695,0.012,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.109,Z,17.286,18.441,,TCP J14225968+4122545,VVS,STD,,,,
2459710.354653,13.674,0.012,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.108,Z,17.283,18.415,,TCP J14225968+4122545,VVS,STD,,,,
2459710.35471,13.509,0.006,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.039,Z,,14.949,,XM116HT,MCSE,STD,,,,
2459710.355104,13.666,0.012,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.107,Z,17.288,18.429,,TCP J14225968+4122545,VVS,STD,,,,
2459710.35547,13.450,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.038,Z,,14.971,,XM116HT,MCSE,STD,,,,
2459710.355556,13.642,0.011,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.106,Z,17.288,18.402,,TCP J14225968+4122545,VVS,STD,,,,
2459710.356053,13.664,0.011,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.105,Z,17.266,18.400,,TCP J14225968+4122545,VVS,STD,,,,
2459710.35622,13.443,0.006,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.037,Z,,14.972,,XM116HT,MCSE,STD,,,,
2459710.356505,13.663,0.011,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.104,Z,17.258,18.395,,TCP J14225968+4122545,VVS,STD,,,,
2459710.356956,13.657,0.011,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.103,Z,17.281,18.435,,TCP J14225968+4122545,VVS,STD,,,,
2459710.35698,13.483,0.006,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.037,Z,,14.921,,XM116HT,MCSE,STD,,,,
2459710.357407,13.681,0.011,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.102,Z,17.265,18.457,,TCP J14225968+4122545,VVS,STD,,,,
2459710.35774,13.461,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.036,Z,,14.969,,XM116HT,MCSE,STD,,,,
2459710.357859,13.662,0.011,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.101,Z,17.290,18.437,,TCP J14225968+4122545,VVS,STD,,,,
2459710.358333,13.674,0.011,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.100,Z,17.253,18.435,,TCP J14225968+4122545,VVS,STD,,,,
2459710.35850,13.472,0.007,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.035,Z,,15.018,,XM116HT,MCSE,STD,,,,
2459710.358785,13.703,0.011,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.099,Z,17.255,18.416,,TCP J14225968+4122545,VVS,STD,,,,
2459710.359225,13.705,0.012,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.099,Z,17.257,18.457,,TCP J14225968+4122545,VVS,STD,,,,
2459710.35926,13.492,0.006,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.034,Z,,14.959,,XM116HT,MCSE,STD,,,,
2459710.359676,13.649,0.011,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.098,Z,17.268,18.461,,TCP J14225968+4122545,VVS,STD,,,,
2459710.36001,13.475,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.033,Z,,14.960,,XM116HT,MCSE,STD,,,,
2459710.360139,13.646,0.011,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.097,Z,17.275,18.437,,TCP J14225968+4122545,VVS,STD,,,,
2459710.360625,13.628,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.096,Z,17.263,18.431,,TCP J14225968+4122545,VVS,STD,,,,
2459710.36077,13.439,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.032,Z,,14.959,,XM116HT,MCSE,STD,,,,
2459710.361076,13.661,0.011,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.095,Z,17.261,18.457,,TCP J14225968+4122545,VVS,STD,,,,
2459710.361516,13.637,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.094,Z,17.269,18.449,,TCP J14225968+4122545,VVS,STD,,,,
2459710.36153,13.448,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.031,Z,,14.946,,XM116HT,MCSE,STD,,,,
2459710.361956,13.610,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.093,Z,17.268,18.438,,TCP J14225968+4122545,VVS,STD,,,,
2459710.36229,13.432,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.031,Z,,14.927,,XM116HT,MCSE,STD,,,,
2459710.362396,13.601,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.093,Z,17.280,18.410,,TCP J14225968+4122545,VVS,STD,,,,
2459710.362882,13.611,0.011,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.092,Z,17.270,18.410,,TCP J14225968+4122545,VVS,STD,,,,
2459710.36305,13.423,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.030,Z,,14.935,,XM116HT,MCSE,STD,,,,
2459710.363333,13.621,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.091,Z,17.256,18.440,,TCP J14225968+4122545,VVS,STD,,,,
2459710.363785,13.615,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.090,Z,17.234,18.428,,TCP J14225968+4122545,VVS,STD,,,,
2459710.36380,13.436,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.029,Z,,14.964,,XM116HT,MCSE,STD,,,,
2459710.364236,13.589,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.089,Z,17.268,18.418,,TCP J14225968+4122545,VVS,STD,,,,
2459710.36456,13.386,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.028,Z,,14.931,,XM116HT,MCSE,STD,,,,
2459710.364688,13.556,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.088,Z,17.254,18.393,,TCP J14225968+4122545,VVS,STD,,,,
2459710.365174,13.560,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.087,Z,17.248,18.403,,TCP J14225968+4122545,VVS,STD,,,,
2459710.36532,13.351,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.028,Z,,14.981,,XM116HT,MCSE,STD,,,,
2459710.365637,13.542,0.010,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.087,Z,17.237,19.128,,TCP J14225968+4122545,VVS,STD,,,,
2459710.36608,13.343,0.005,,CV,TRT,,ENSEMBLE,152,X27938KV,,0,1.027,Z,,14.945,,XM116HT,MCSE,STD,,,,
2459710.366088,13.521,0.009,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.086,Z,17.232,18.395,,TCP J14225968+4122545,VVS,STD,,,,
2459710.366539,13.508,0.009,,CV,VMT,,000-BPJ-531,000-BPJ-533,X27936AB,STANDARD MAG: C = 13.520 K = 14.759,0,1.085,Z,17.225,18.374,,TCP J14225968+4122545,VVS,STD,,,,
